2025-09-18 13:21:29 | INFO | info:57 | 🧪 测试模式运行
2025-09-18 13:21:30 | INFO | info:57 | Binance API连接正常
2025-09-18 13:21:31 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:21:31 | INFO | info:57 | BTC状态: BTC条件满足: 振幅2.72%<3%, 4hKDJ86.5<100, 1hKDJ91.1<100
2025-09-18 13:21:32 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:21:36 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:21:39 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:21:46 | INFO | info:57 | 当前无信号触发
2025-09-18 13:21:47 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:21:47 | INFO | info:57 | 📊 BTC条件满足: 振幅2.72%<3%, 4hKDJ86.7<100, 1hKDJ91.2<100
2025-09-18 13:21:48 | INFO | info:57 | 💰 DOGE价格: $0.281040 (+5.76%)
2025-09-18 13:21:48 | INFO | info:57 | ✅ 测试模式完成
2025-09-18 13:25:33 | INFO | info:57 | 启动交易信号监控...
2025-09-18 13:25:33 | INFO | info:57 | 按 Ctrl+C 停止监控
2025-09-18 13:25:33 | INFO | info:57 | 🚀 交易信号监控启动
2025-09-18 13:25:33 | INFO | info:57 | 监控间隔: 30秒
2025-09-18 13:25:36 | INFO | info:57 | Binance API连接正常
2025-09-18 13:25:37 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:25:41 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:25:46 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:26:22 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:26:26 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:26:30 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:27:08 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:27:13 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:27:18 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:27:54 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:27:59 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:28:04 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:28:44 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:28:48 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:28:52 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:29:04 | INFO | info:57 | 🧪 测试模式运行
2025-09-18 13:29:05 | INFO | info:57 | Binance API连接正常
2025-09-18 13:29:07 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:29:07 | INFO | info:57 | BTC状态: BTC条件满足: 振幅2.72%<3%, 4hKDJ83.8<100, 1hKDJ87.8<100
2025-09-18 13:29:08 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:29:10 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:29:13 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:29:16 | INFO | info:57 | 当前无信号触发
2025-09-18 13:29:17 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:29:17 | INFO | info:57 | 📊 BTC条件满足: 振幅2.72%<3%, 4hKDJ83.4<100, 1hKDJ87.2<100
2025-09-18 13:29:18 | INFO | info:57 | 💰 DOGE价格: $0.280480 (+5.95%)
2025-09-18 13:29:18 | INFO | info:57 | ✅ 测试模式完成
2025-09-18 13:29:28 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:29:32 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:29:36 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:30:14 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:30:19 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:30:25 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:30:32 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:30:32 | INFO | info:57 | 📊 BTC条件满足: 振幅2.72%<3%, 4hKDJ84.9<100, 1hKDJ89.1<100
2025-09-18 13:30:33 | INFO | info:57 | 💰 DOGE价格: $0.280490 (+5.96%)
2025-09-18 13:31:04 | INFO | info:57 | ✅ BTC监控条件全部满足
2025-09-18 13:31:10 | INFO | info:57 | ✅ BTC监控条件全部满足
